IDLink,publication,available,comparator,gain_unavailable_zero
47439,2016-05-05 12:32:14,True,ungated,0.0
47444,2016-05-05 12:38:16,True,ungated,0.0
47454,2016-05-05 13:02:30,True,ungated,0.0
47449,2016-05-05 13:04:18,True,ungated,0.0
47463,2016-05-05 13:20:15,True,ungated,0.0
47464,2016-05-05 13:20:20,True,ungated,0.0
47460,2016-05-05 13:31:19,True,ungated,0.0
47468,2016-05-05 13:40:17,True,ungated,0.0
47469,2016-05-05 13:40:17,True,ungated,0.0
47470,2016-05-05 13:40:19,True,ungated,0.0
47611,2016-05-06 02:38:19,True,ungated,0.0
47618,2016-05-06 03:00:18,True,ungated,0.0
47619,2016-05-06 03:00:20,True,ungated,0.0
47622,2016-05-06 03:30:16,True,ungated,0.0
47630,2016-05-06 04:40:18,True,ungated,0.0
47631,2016-05-06 06:04:16,True,ungated,0.0
47774,2016-05-06 18:29:16,True,ungated,0.0
47772,2016-05-06 18:31:19,True,ungated,0.0
47777,2016-05-06 18:31:23,True,ungated,0.0
47771,2016-05-06 18:39:16,True,ungated,0.0
47781,2016-05-06 19:11:20,True,ungated,0.0
47805,2016-05-06 21:22:19,True,ungated,0.0
47804,2016-05-06 21:27:16,True,ungated,0.0
47809,2016-05-06 21:51:19,True,ungated,0.0
47882,2016-05-07 10:29:16,True,ungated,0.0
47888,2016-05-07 12:00:15,True,ungated,0.0
47893,2016-05-07 12:33:18,True,ungated,0.0
