task,baseline,candidate,raw_draw_calls,distinct_sampled_rows,population_rows,declared_categories,positive_categories,p_min,exact_archive_target,independent_blocks,kernel_lower,kernel_upper,kernel_range,alpha,by_first_threshold,whole_case_seconds,process_peak_rss_kib,method,estimate,radius,lower,p,log_p,first_threshold_lower,sample_variance,arithmetic_seconds,first_term,second_term,lower_covers_archive_target,p_BY,retained
appliances,seasonal_day,hist_gradient_boosting,32768,336,336,32,30,0.005952380952380952,0.035212619639672774,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.224378507584333,101224,direct_block_empirical_bernstein,0.042316772399564793,0.07606780982800418,-0.033751037428439386,0.35869679739727206,-1.025277822843747,-0.08199787503305239,1.1198540559623085,0.8298343047499657,,,True,1.0,False
appliances,seasonal_day,hist_gradient_boosting,32768,336,336,32,30,0.005952380952380952,0.035212619639672774,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.224378507584333,101224,direct_full_u_hoeffding,0.03427152329304772,0.5701784515603884,-0.5359069282673407,0.9892353442360541,-0.010823013851816698,-0.7776855515395222,,14.387155201286077,0.3121751881304823,0.27790366483743456,True,1.0,False
appliances,seasonal_day,independent_noise,32768,336,336,32,30,0.005952380952380952,0.0019796569018352504,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.80562886223197,100564,direct_block_empirical_bernstein,0.013905246226143947,0.06887363847635072,-0.05496839225020678,1.0,0.0,-0.10066468923980953,0.6699528312504891,0.8541538044810295,,,True,1.0,False
appliances,seasonal_day,independent_noise,32768,336,336,32,30,0.005952380952380952,0.0019796569018352504,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.80562886223197,100564,direct_full_u_hoeffding,0.0019884789712133477,0.5701784515603884,-0.568189972589175,0.9999635652754149,-3.643538834582796e-05,-0.8099685958613566,,14.943829920142889,0.24689915563962128,0.24491067666840793,True,1.0,False
appliances,seasonal_day,persistence,32768,336,336,32,30,0.005952380952380952,0.04201925165977566,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.193801738321781,100812,direct_block_empirical_bernstein,0.053516646158140016,0.07531532257977461,-0.02179867642163459,0.18484194438939025,-1.6882541737246965,-0.06977873565872296,1.06741357859875,0.8347079008817673,,,True,1.0,False
appliances,seasonal_day,persistence,32768,336,336,32,30,0.005952380952380952,0.04201925165977566,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.193801738321781,100812,direct_full_u_hoeffding,0.041263944073047565,0.5701784515603884,-0.5289145074873408,0.9844324494316782,-0.015689997343676054,-0.7706931307595224,,14.351777538657188,0.3148699454785323,0.27360600140548474,True,1.0,False
appliances,seasonal_day,ridge_full,32768,336,336,32,30,0.005952380952380952,0.030515157153465006,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.781311564147472,100492,direct_block_empirical_bernstein,0.03944827402226658,0.07553788001360238,-0.0360896059913358,0.411228615834354,-0.8886059762256725,-0.08414856823843098,1.0827925438301473,0.8477469943463802,,,True,1.0,False
appliances,seasonal_day,ridge_full,32768,336,336,32,30,0.005952380952380952,0.030515157153465006,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.781311564147472,100492,direct_full_u_hoeffding,0.029588657475083213,0.5701784515603884,-0.5405897940853052,0.9919650849541323,-0.008067368935498028,-0.7823684173574867,,14.925974283367395,0.3051427704722444,0.2755541129971612,True,1.0,False
appliances,seasonal_day,seasonal_day,32768,336,336,32,30,0.005952380952380952,0.00028583707854406046,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.914063520729542,100172,direct_block_empirical_bernstein,0.012659225720749161,0.07546197212973974,-0.06280274640899057,1.0,0.0,-0.11083479712849936,1.0775348645464027,0.8315096534788609,,,True,1.0,False
appliances,seasonal_day,seasonal_day,32768,336,336,32,30,0.005952380952380952,0.00028583707854406046,8192,-41.833333333333336,0.3333333333333333,42.16666666666667,0.05,0.002299605781865966,15.914063520729542,100172,direct_full_u_hoeffding,-0.0007390696040929234,0.5701784515603884,-0.5709175211644812,1.0,-0.0,-0.8126961444366629,,15.075070079416037,0.2871878203602535,0.2879268899643464,True,1.0,False
