categories,validation_pairs,mass,fit_error,delta,method,repetitions,noncoverage,median_slack,mean_slack,median_upper
2,2048,balanced,exact,0.05,pooled_grid,2000,0,0.0034963074815336187,0.0035736156916888026,0.0034963074815336187
2,2048,balanced,exact,0.05,pooled_mixture,2000,0,0.003430221655392576,0.003491589350049266,0.003430221655392576
2,2048,balanced,exact,0.0002299605781865966,rectangle,2000,0,0.005958288025698356,0.0060228468209739695,0.005958288025698356
2,2048,balanced,exact,0.0002299605781865966,split_original,2000,0,0.005411699828464881,0.005472190584502685,0.005411699828464881
2,2048,balanced,exact,0.0002299605781865966,split_balanced,2000,0,0.005464492641142608,0.005504603613509175,0.005464492641142608
2,2048,balanced,exact,0.0002299605781865966,pooled_fixed,2000,0,0.005860198444085807,0.005926314757217767,0.005860198444085807
2,2048,balanced,exact,0.0002299605781865966,pooled_grid,2000,0,0.005843028560482195,0.005937122301022661,0.005843028560482195
2,2048,balanced,exact,0.0002299605781865966,pooled_mixture,2000,0,0.005809237674433992,0.0058905545158930775,0.005809237674433992
2,2048,balanced,same_direction,0.05,rectangle,2000,0,0.007445253081127931,0.007469606309609757,0.009945253081127932
2,2048,balanced,same_direction,0.05,split_original,2000,0,0.006503139108101783,0.0065402611061604115,0.009003139108101785
2,2048,balanced,same_direction,0.05,split_balanced,2000,0,0.006503732200956322,0.006560907871846646,0.009003732200956323
2,2048,balanced,same_direction,0.05,pooled_fixed,2000,0,0.008316104766073456,0.008403794483698256,0.010816104766073458
2,2048,balanced,same_direction,0.05,pooled_grid,2000,0,0.007994021533781641,0.008040411489780085,0.010494021533781643
2,2048,balanced,same_direction,0.05,pooled_mixture,2000,0,0.007590952259116948,0.0076200670114094995,0.01009095225911695
2,2048,balanced,same_direction,0.0002299605781865966,rectangle,2000,0,0.012234679887873724,0.012261888860581792,0.014734679887873726
2,2048,balanced,same_direction,0.0002299605781865966,split_original,2000,0,0.010728541449585483,0.010763330643013746,0.013228541449585485
2,2048,balanced,same_direction,0.0002299605781865966,split_balanced,2000,0,0.010719404281362704,0.010788483053668642,0.013219404281362705
2,2048,balanced,same_direction,0.0002299605781865966,pooled_fixed,2000,0,0.013482471490522228,0.013596399308128402,0.015982471490522232
2,2048,balanced,same_direction,0.0002299605781865966,pooled_grid,2000,0,0.01180962446692246,0.011877263176530874,0.014309624466922462
2,2048,balanced,same_direction,0.0002299605781865966,pooled_mixture,2000,0,0.011648816073197761,0.011681231163322672,0.014148816073197762
2,2048,balanced,opposite_direction,0.05,rectangle,2000,0,0.012527153990062913,0.012496142341722853,-0.009972846009937086
2,2048,balanced,opposite_direction,0.05,split_original,2000,0,0.015563511317973743,0.015508726935046692,-0.006936488682026254
2,2048,balanced,opposite_direction,0.05,split_balanced,2000,0,0.015493420555000345,0.01546906216456327,-0.007006579444999654
2,2048,balanced,opposite_direction,0.05,pooled_fixed,2000,0,0.04884493642205893,0.04887880278787902,0.026344936422058925
2,2048,balanced,opposite_direction,0.05,pooled_grid,2000,0,0.02019497100693634,0.020167573104019707,-0.0023050289930636614
2,2048,balanced,opposite_direction,0.05,pooled_mixture,2000,0,0.019751428634240835,0.019717176853820562,-0.002748571365759166
2,2048,balanced,opposite_direction,0.0002299605781865966,rectangle,2000,0,0.01639923016342636,0.016369297147095032,-0.006100769836573639
2,2048,balanced,opposite_direction,0.0002299605781865966,split_original,2000,0,0.024411297251788408,0.02436228671346739,0.0019112972517884071
2,2048,balanced,opposite_direction,0.0002299605781865966,split_balanced,2000,0,0.024370949168404106,0.024327625936422643,0.0018709491684041066
2,2048,balanced,opposite_direction,0.0002299605781865966,pooled_fixed,2000,0,0.07508057565654674,0.0751619622961908,0.05258057565654674
