task,baseline,candidate,budget_method,bias,true_bias,mean,U_radius,U_lower,U_p,betting_p,bias_covers,queries,known_category_metadata_rows,center,linear_a_radius,linear_b_radius,product_radius,absent_allowance,upper,delta,categories_used,categories_absent,information_contract,U_BY,U_retained,betting_BY,betting_retained
metro,ridge,independent_noise,known_mass_aggregate,0.0067558325627079,-1.9695797145923717e-06,0.0003528126828039,0.0047056024299669,-0.0111086223098709,1.0,1.0,True,32768,4362.0,0.0005134501485044,0.0018314918040233,0.0016243745354721,0.0027865160747079,0.0,0.0067558325627079,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,ridge,independent_noise,oracle_diagnostic,-1.9695797145923717e-06,-1.9695797145923717e-06,0.0003528126828039,0.0047056024299669,-0.0043508201674484,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,persistence,original_rectangle,0.0396626956240615,6.666733243635202e-05,0.0139012179784135,0.0050715192674168,-0.0308329969130647,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,persistence,known_mass_rectangle,0.0314737698121743,6.666733243635202e-05,0.0139012179784135,0.0050715192674168,-0.0226440711011775,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,persistence,known_mass_aggregate,0.0048161945870912,6.666733243635202e-05,0.0139012179784135,0.0050715192674168,0.0040135041239055,0.0009634137026372,0.0002299605781865,True,32768,4362.0,-0.0001836687684641,0.0012106891317549,0.001411605476021,0.0023775687477793,0.0,0.0048161945870912,0.0002299605781865,32.0,0.0,category probabilities known exactly; independent streams,0.0069824555019708,True,0.001000608653195,True
metro,seasonal_day,persistence,oracle_diagnostic,6.666733243635202e-05,6.666733243635202e-05,0.0139012179784135,0.0050715192674168,0.0087630313785604,0.0002331729640433,0.0002299605781865,True,32768,4362.0,,,,,,,,,,,0.0012964478236329,True,0.001,True
metro,seasonal_day,seasonal_day,original_rectangle,0.0385271162991533,1.734700299072258e-05,0.0003074710375453,0.0053305092803814,-0.0435501545419893,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,seasonal_day,known_mass_rectangle,0.0307444429518111,1.734700299072258e-05,0.0003074710375453,0.0053305092803814,-0.0357674811946472,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,seasonal_day,known_mass_aggregate,0.004908376548142,1.734700299072258e-05,0.0003074710375453,0.0053305092803814,-0.0099314147909781,1.0,1.0,True,32768,4362.0,-4.962051022348758e-05,0.0012106891317549,0.0013697391788312,0.0023775687477793,0.0,0.004908376548142,0.0002299605781865,32.0,0.0,category probabilities known exactly; independent streams,1.0,False,1.0,False
metro,seasonal_day,seasonal_day,oracle_diagnostic,1.734700299072258e-05,1.734700299072258e-05,0.0003074710375453,0.0053305092803814,-0.0050403852458268,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,seasonal_week,original_rectangle,0.038752014047737,6.887472883132623e-05,0.0133727994137194,0.0051805962484786,-0.0305598108824962,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,seasonal_week,known_mass_rectangle,0.0310977886496451,6.887472883132623e-05,0.0133727994137194,0.0051805962484786,-0.0229055854844043,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,seasonal_week,known_mass_aggregate,0.0048515431349148,6.887472883132623e-05,0.0133727994137194,0.0051805962484786,0.0033406600303259,0.0019015053125688,0.0002299605783529,True,32768,4362.0,-0.000144509051726,0.0012106891317549,0.0014077943071066,0.0023775687477793,0.0,0.0048515431349148,0.0002299605781865,32.0,0.0,category probabilities known exactly; independent streams,0.0103360395918918,True,0.001000608653195,True
metro,seasonal_day,seasonal_week,oracle_diagnostic,6.887472883132623e-05,6.887472883132623e-05,0.0133727994137194,0.0051805962484786,0.0081233284364094,0.0002385055128891,0.0002299605781865,True,32768,4362.0,,,,,,,,,,,0.0012964478236329,True,0.001,True
metro,seasonal_day,ridge_full,original_rectangle,0.0383533840677131,6.289322518503334e-05,0.011353254192123,0.0051035071060753,-0.0321036369816653,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,ridge_full,known_mass_rectangle,0.0303634135743713,6.289322518503334e-05,0.011353254192123,0.0051035071060753,-0.0241136664883236,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,ridge_full,known_mass_aggregate,0.0049403577185047,6.289322518503334e-05,0.011353254192123,0.0051035071060753,0.0013093893675429,0.0137184460404402,0.0002301005444272,True,32768,4362.0,2.0706942691972943e-05,0.0012106891317549,0.0013313928962784,0.0023775687477793,0.0,0.0049403577185047,0.0002299605781865,32.0,0.0,category probabilities known exactly; independent streams,0.0596556424958574,False,0.001000608653195,True
metro,seasonal_day,ridge_full,oracle_diagnostic,6.289322518503334e-05,6.289322518503334e-05,0.011353254192123,0.0051035071060753,0.0061868538608626,0.0002995999361406,0.0002299605781865,True,32768,4362.0,,,,,,,,,,,0.0013028317223032,True,0.001,True
metro,seasonal_day,hist_gradient_boosting,original_rectangle,0.0394325688767835,6.528208141962624e-05,0.0152388155239906,0.0052213917153209,-0.0294151450681138,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,hist_gradient_boosting,known_mass_rectangle,0.0313385952312463,6.528208141962624e-05,0.0152388155239906,0.0052213917153209,-0.0213211714225766,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,hist_gradient_boosting,known_mass_aggregate,0.0046332645394063,6.528208141962624e-05,0.0152388155239906,0.0052213917153209,0.0053841592692633,0.0004177138825843,0.0002299605781865,True,32768,4362.0,-0.0001117784014021,0.0012106891317549,0.0011567850612742,0.0023775687477793,0.0,0.0046332645394063,0.0002299605781865,32.0,0.0,category probabilities known exactly; independent streams,0.0049352099158427,True,0.001000608653195,True
metro,seasonal_day,hist_gradient_boosting,oracle_diagnostic,6.528208141962624e-05,6.528208141962624e-05,0.0152388155239906,0.0052213917153209,0.00995214172725,0.0002310511557501,0.0002299605781865,True,32768,4362.0,,,,,,,,,,,0.0012964478236329,True,0.001,True
metro,seasonal_day,extra_trees,original_rectangle,0.0392165144600328,6.764322213999476e-05,0.0150586807846315,0.0052241451060266,-0.0293819787814279,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,extra_trees,known_mass_rectangle,0.0310720874911854,6.764322213999476e-05,0.0150586807846315,0.0052241451060266,-0.0212375518125806,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,extra_trees,known_mass_aggregate,0.0046042592371986,6.764322213999476e-05,0.0150586807846315,0.0052241451060266,0.0052302764414061,0.0004539614902877,0.0002299605781865,True,32768,4362.0,-0.000159493380757,0.0012106891317549,0.0011754947384214,0.0023775687477793,0.0,0.0046042592371986,0.0002299605781865,32.0,0.0,category probabilities known exactly; independent streams,0.0049352099158427,True,0.001000608653195,True
metro,seasonal_day,extra_trees,oracle_diagnostic,6.764322213999476e-05,6.764322213999476e-05,0.0150586807846315,0.0052241451060266,0.0097668924564648,0.0002313342129742,0.0002299605781865,True,32768,4362.0,,,,,,,,,,,0.0012964478236329,True,0.001,True
metro,seasonal_day,category_copy,original_rectangle,0.0383995933187512,1.55214754814039e-05,9.253147453251348e-07,0.0052832743719878,-0.0436819423759936,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
metro,seasonal_day,category_copy,known_mass_rectangle,0.0306866115249204,1.55214754814039e-05,9.253147453251348e-07,0.0052832743719878,-0.0359689605821629,1.0,1.0,True,32768,4362.0,,,,,,,,,,,1.0,False,1.0,False
